Initial GenePool BestElite's Error Rate: 14.0%

 258-th training, BestElite's ErrorRate: 10.0%
 259-th training, BestElite's ErrorRate: 10.0%
 260-th training, BestElite's ErrorRate: 10.0%
 261-th training, BestElite's ErrorRate: 10.0%
 262-th training, BestElite's ErrorRate: 10.0%
 263-th training, BestElite's ErrorRate: 10.0%
 264-th training, BestElite's ErrorRate: 10.0%
 265-th training, BestElite's ErrorRate: 10.0%
 266-th training, BestElite's ErrorRate: 10.0%
 267-th training, BestElite's ErrorRate: 10.0%
 268-th training, BestElite's ErrorRate: 10.0%
 269-th training, BestElite's ErrorRate: 10.0%
 270-th training, BestElite's ErrorRate: 10.0%
 271-th training, BestElite's ErrorRate: 10.0%
 272-th training, BestElite's ErrorRate: 10.0%
 273-th training, BestElite's ErrorRate: 10.0%
 274-th training, BestElite's ErrorRate: 10.0%
 275-th training, BestElite's ErrorRate: 12.0%
 276-th training, BestElite's ErrorRate: 12.0%
 277-th training, BestElite's ErrorRate: 12.0%
 278-th training, BestElite's ErrorRate: 12.0%
 279-th training, BestElite's ErrorRate: 12.0%
 280-th training, BestElite's ErrorRate: 12.0%
 281-th training, BestElite's ErrorRate: 12.0%
 282-th training, BestElite's ErrorRate: 12.0%
 283-th training, BestElite's ErrorRate: 12.0%
 284-th training, BestElite's ErrorRate: 12.0%
 285-th training, BestElite's ErrorRate: 12.0%
 286-th training, BestElite's ErrorRate: 9.0%
 287-th training, BestElite's ErrorRate: 9.0%
 288-th training, BestElite's ErrorRate: 9.0%
 289-th training, BestElite's ErrorRate: 9.0%
 290-th training, BestElite's ErrorRate: 9.0%
 291-th training, BestElite's ErrorRate: 9.0%
 292-th training, BestElite's ErrorRate: 9.0%
 293-th training, BestElite's ErrorRate: 10.0%
 294-th training, BestElite's ErrorRate: 10.0%
 295-th training, BestElite's ErrorRate: 10.0%
 296-th training, BestElite's ErrorRate: 10.0%
 297-th training, BestElite's ErrorRate: 10.0%
 298-th training, BestElite's ErrorRate: 10.0%
 299-th training, BestElite's ErrorRate: 10.0%
 300-th training, BestElite's ErrorRate: 10.0%
 301-th training, BestElite's ErrorRate: 10.0%
 302-th training, BestElite's ErrorRate: 10.0%
 303-th training, BestElite's ErrorRate: 9.0%

Final Result (303-th generation): 9.0% -> [1.899211029984457, -3.5031484734600085, -114.30565203011855]

